,이름,평점,작성일,내용
222,뽀뇨,3/5,2023년 2월 13일,"전에 체험판으로 사용하다가 음성인식 오류로 안 넘어가져서 삭제했었는데요. 이번에AI튜터가 새로 생겼길래 결제해서 사용 중이에요. 우선 인식해야만 다음으로 넘어갈 수 있는 기능 고쳐져서 너무 편하고요. 인식률도 많이 높아졌어요. 그리고 AI튜터가 소름돋을 정도로 수정을 잘 해주고 대화도 잘 통합니다. 북마크 기능으로 수정한 문장 따라서 말하면 도움 많이 될 것 같아요. +++하지만 AI튜터에 문제점이 많습니다. 1. AI튜터 수정을 문어체 위주로 하는 것 같아요.. 자꾸 구어체로 말한다고 고치라고 하고 말로 대답하는 거기 때문에 문장부호도 따로 없는데 부호를 올바르게""쓰라고""피드백줍니다. 2. 가끔 제가 말한 건 안 고치고 튜터 본인이 말한 문장을 피드백해주는데 대체 왜 그런 거죠? 튜터가 말한 문장도 문제있으면 잘못 가르치고 있는 거 아닌가요? 3.미션도 안 끝났는데 임의로 대화를 종료해서 당황스럽습니다. 또 어쩔 땐 미션을 다 완료했는데 대화를 안 끝내서 크레딧 낭비가 심해요"
223,wk b,5/5,2023년 1월 10일,"지금까지 해본 영어공부 앱중 재미 측면에선 최고여서 가장 흥미롭게, 오래 하고 있습니다.다만 요새 이벤트 이후 가입자가 폭증했는지 서버가 딸려서인지 몰라도 딜레이가 오래되고 특히 AI튜터는 멈추거나 스피킹 마친 후 채점까지 너무 시간이 오래 걸려요. 트래픽 원활히 되도록 서버만 늘려주시면 더더욱 재밌게 할 수 있을 것 같습니다."
224,YoungSu,5/5,2021년 10월 15일,장점 : 아주쉬운 문장에서 부터 체계적으로 프로그램 되어 있어서 따라가기 편합니다. 그리고 내가 말한 단어나 문장을 선생님의 발음과 바로 비교해서 다시 들을수 있어서 발음교정에 효과적입니다. 단점 : 하다보면 좀 지루해 질수 있는듯합니다. 왜 그런지 생각해보니 반복되는 프로그램이 있는데 솔직히 이건 어쩔수 없는 문제이기도 한것 같습니다.
225,kkilkkie,4/5,2023년 4월 26일,한 일 년 전부터 연 단위 끊어서 사용하고 있습니다 문제가 음성인식이 너무 안 됩니다ㅜㅜ 그것 때문에 스픽 한 때 열심히 하다가 쭉 안 하고 있었는게 이번에 돌아와서 다시 하려고 보니까 똑같이 음성인식이 잘 안 되는 부분이 많네요... 갤s22+인데 이 문제 빨리 해결해주셨으면 좋겠습니다. 너무 오랫동안 있었던 문제인데 여전히 있다보니 다음 결제 때는 또 연단위 결제를 하기가 망설여 지기도합니다. 아니면 진짜 마이크있는 헤드셋 사서 폰에 연결 시켜서 써야하는건가요? 제발 빨리 음성인식문제 해결해주세요...
226,illisilli Kim,3/5,2023년 1월 26일,"앱 아이디어가 너무 좋네요 갑자기 많은 사용자가 몰려서 그런지 기능이 불안정하고 오류가 많아요 모쪼록 빠른시일내에 수정되어 안정적으로 공부할 수 있으면 좋겠어요 발음 인식이 잘 안돼요 옆에 원어민 시켜봐도 안됨 ㅋㅋ 알림 기능이 설정한 시각에 오지않고, 가끔은 아예 안오는 경우도 있어요"
227,이미라,4/5,2023년 3월 26일,"콘텐츠가 유용하고, 전달력도 좋습니다. 이용 초기에 위와 같이 리뷰했는데 두 달 정도 더 이용하고 덧붙입니다. 음성 인식이 안 되고 다음 문장으로 넘어가지도 않아 그 페이지에 멈춰있길 몇 분...많이 답답하고 화도 났습니다. 휴대전화 설정을 이것저것 바꾸었더니 겨우 되네요. 음성 인식 장애 부분 신속하게 수정해 주세요."
228,라빈,5/5,2021년 12월 8일,"매번 광고 보고 반신반의 하다가 신뢰하는 유튜버의 추천으로 프로모션 구독하게 되었는데 단순 텍스트 위주 공부가 아니라 상호작용하면서 공부 하니 너무 재미 있어서 계속 수업받게 됩니다. 학원가서 큰돈을 들여도 낯 가림 때문에 제대로 수업 효과 못봤는데, 편안한 장소에서 편안할 때 수시로 할수 있고, 눈치 보지 않고 오버 액션으로 연기하며 공부하며 스스로의 재미로 찾고 있어요 ㅋㅋㅋ 덕분에 선생님들하고 내적 친분 쌓이면서 즐겁습니다. ㅋㅋ 그리고 컨텐츠 내용이 너무 예전에 녹화한거 반복 사용 하는게 아니라 최신화된 컨텐츠도 포함하고 있어서 더 흥미롭게 할수 있는것 같아요. 간혹 발음 인식이 안되거나 사용자는 맞게 발음 했다고 생각 했는데도 틀리다 혹은 미인식되는 경우가 있어 이럴 때 왜 틀렸는지 어떤 부분이 다른지 분석 및 코칭 해주는 기능이 있음 좋겠습니다. 앞으로도 좋은 컨텐츠 쭉 업데이트 해주세요 기대하겠습니다. 좋은 앱 감사합니다."
229,yeeun kim,5/5,2021년 6월 16일,굉장히 만족하면서 쓰고있는데 두번 재수강할정도로요. 손을 일하는데 쓰고 입은 스픽어플 틀어놓고 공부하는편인데 요즘 음성인식 너무 안되고 심지어 멈춰요. 그럼일하던손을 멈추고 화면을 터치해야되요. 답답해요 ㅠ 내 음성듣기라는 버튼이 생겼는데 업그레이드된거가요? 쓸수가없어요 회사로연락하고싶지만 번호가없네요ㅠ - 스피킹에 정말 최적화된 어플이에요. 외국인과 대화하듯 반복적으로 스피킹을 연습할수있어 효과적인 어플이에요 가아~~끔 대화내용과 지문이 다르게 나오는경우도 있긴한데 버그인거 같아요. 앞으로 이런 버그들도 개선될거라 믿어요 화려하게 외국인과 말하는거까지는 기대하지 않치만 하루하루 꾸준히 하면 조금씩 늘어나는 저를 기대해봅니다! 다른 유명 영어회화어플도 결재해서 사용해봤지만 스피킹어플은 스픽이 최고!! 스픽일년채웠네요 그동안잘활용했어요~ 스피킹에는 스픽만한게 없는것같아요. 아쉬운점은 연장회원에게는 기존가보다 할인되는 기회가 있었으면좋겠어요.
230,Odysseus “Outis”,4/5,2023년 1월 7일,"대화를 끌어내주는 AI 기능과, 본인의 표현 교정력에 놀랐습니다. 교정된 문장들을 저장, 복습 및 발음 교정까지 되는 기능이 큰 도움이 됩니다. 다만, 저장 문장의 길이와,, 주어진 녹음시간이 불일치,, 매우 짧아 완벽히 연습하기엔 부족한 점이 아쉽습니다."
231,박수연,5/5,2020년 9월 11일,"너무 잘 이용하고있습니다. 전화영어나 대면 수업에 비해서 실제로 스피킹 할 수 있는 물리적인 시간이 넉넉하고 또 주요 패턴을 반복적으로 연습할 수 있게끔 수업이 짜여있어서 좋아요. 가성비도 좋고 하루 한 수업씩 30분정도 꾸준히 영어공부 하기에 적절한 어플이라고 생각합니다. 다만 수업 끝날때마다 오늘 수업에 대해 평가하는 팝업이 뜨는데, 제 생각엔 너무 횟수가 잦아서 5개의 수업을 마치고 묶어서 평가를 하는게 더 효율적인 방법일것같습니다."
232,pure nard,4/5,2021년 1월 6일,결제해서 앱을 이용해보긴 첨인데 만족스러워요~ 음성인식이 안정적으로 잘 되는 편이에요. 다만 신규선택수업이 도대체 어디에 업데이트 되었다는 건지...당췌 안보이네요;;; 구입당시와 동일한 수업만 보이는데요~~ 신규선택수업 안내메일에서 바로가기 눌러도 그냥 제가 듣던 수업으로 넘어가요.
233,SJ Moon,1/5,2022년 10월 14일,"프로그램은 나쁘지않은데, 중간에 미션챌린지과정이 있어요. 완수하면 금액을 환불해주는건데, 완수하고나도 안내도없고, 힘들게 물어보니, 세금제하고 배송료도제하고, 그리고 작성해야하는 서류는 뭐가 그리 복잡한지. 계속 저랑 소통하고있었는데 회원일련번호는 왜 써야하며, 그 번호는 30자리도넘는 복잡한번호였고, 계좌사본, 신분증사본도 올려야하고. 올리는과정도 인터페이스가 완전 SUCKS!!! 이런 사소한것때문에 잘 만들어진앱이 평가절하되는것같은데 개선의 여지가 없는지."
234,Wooram Hong,1/5,2024년 4월 5일,"일년 넘게 같은 폰으로 잘 쓰고 있었는데 최근 들어서 마이크쪽에 에러가 나면서 진행이 잘 안되네요. 기술팀도 이 문제를 알고있는거 같은데 계속 고쳐지지 않아 답답합니다. 뭐 한달 무료권을 준다 그러는데, 마이크 에러로 앱을 사용을 못하는데 한달 더 사용할수 있으면 뭐하나요. 잘 쓰고 있었고, 도움 많이 되었는데 좀 많이 답답합니다."
235,박소현,5/5,2024년 1월 18일,"매일 짧은 시간을 내서 수업하는 것이 참 유용하네요. 거기에 AI 가 수업을 해 주기 때문에 창피할 일도, 부끄러울 일도 없어서 좋습니다. 그런데, 처음이라 그런지 거의 매일 반복되는 내용을 하는 기분이 듭니다. 그렇다고 나쁘다는 것은 아니에요. 반복훈련이 언어를 익히는 데 도움이 된다는 것을 아니까요. 아무튼 좋는 어플이라고 생각합니다. 56세에 현재 4개국어를 하고 있지만 영어를 못해서 언제나 아쉬웠는데 지금이라도 연습할 수 있어서 좋습니다."
236,Mikyung Cha,5/5,2024년 3월 16일,"매일 조금씩 공부하고 있습니다. 한가지 건의가 있는데, 그동안 공부했던 부분을 랜덤으로 스피킹연습할 수 있게 만들어주실수 있나요? 기존엔 내가 했던 유닛에서만 스피킹연습이 가능하고, 연습전에 미리 어떤 문장이 나올것인지 예문이 나오는데 그 패턴을 따라하다보니 정작 갑자기 물었을때 답이 바로 나오지 않아요. 제가 만약 유닛18까지 마쳤고, 1부터 18중에 예문없이 랜덤으로 여태 공부한 내용을 한국말로 문제 주면 우리가 스피킹으로 대답하는 섹션을 만들어주시면 완전히 제것으로 만들 수 있을거 같아요. 반영해 주시면 감사하겠습니다!"
237,신진우,5/5,2024년 4월 2일,"오늘 가입해서 일주일 무료체험 해보려고 했는데 이미 무료체험 사용한 계정이라고 안되고, 다시 한 번 무료체험 버튼 눌렸더니 그대로 1년 결제가 되었습니다. 빠른 환불 받고 싶은 마음에 못된 리뷰부터 남겨버렸네요. 마음의 준비를 조금 한 뒤 결제할 생각입니다. 감사합니다."
238,녀누나뭅,5/5,2024년 3월 17일,너무좋아요 ai첨삭 기능도 종지만 강의자체도 매우 유용합니다 한개.추가됬으면 하는게 반복 기능이요 원어민 발음 열번 이상반복하며 쉐도윙하고싶은데 매번 반복버튼 누르기힘들어요 그리고 가아끔 인식못하는 단어들이 있어요 비지니스코스에 somewhat aligned 이거도요
239,사우스포,5/5,2024년 3월 26일,여러 영어 유료 어플중 어떤걸 할까 고민하다 최종적으로 선택한게 스픽인데 아직까진 재미있게 잘하고 있어요! 다른 어플들은 안써봐서 뭐가 더 좋고 뭐가 단점인지 잘 모르겠지만 다 자기 하기 나름이겠죠 뭐~~ 아무튼 1년뒤 발전 할 모습을 기대하며 오늘도 just do it!
240,레오루비,5/5,2024년 3월 18일,표현들은 많이 알고 있지만 아웃핏연습이 너무 부족했는데 그냥 시간 날때마다 연습하고 있습니다. 챗gtp와 병행하여 사용하면 스피킹 실력이 향상될거 같아 정말 추천합니다.
241,QMAM1SME “HDR” MY OTHERS CAN RIGHT ONE CLICK INFO IT IS,1/5,2024년 4월 2일,처음 무료 체험유도이후 월간 자동구독이 되는지 정말몰랏습니다 처음 앱을깔고 공부는커녕 앱의 환경만보고 닫았던것으로아는데 계속 다달이 29000원의 구독료가 출금되고있었습니다. 지금3개월가량 구독료가 나가는동안 어떻게 고객에게 사용하지않는 것에대한 어필전화나문자 한번 없이 구독료만 따박따박 챙기십니까 제가 실수로 무료사용이후의 머 자동결제된다는시스템에 대한 자세한 약관을 확인못했다 하더라도 이앱은 처음호기심에 본이후 삭제했고 한번도 사용하지않았는데 사용하지않은것에 대해서는 너무 고객에대한 헤이한 점이 있었던것 같습니다. 한번도 사용한적없는 앱의 다달의 이용금액에대한 환불확실히 해주시길바랍니다.
242,유진,5/5,2024년 3월 26일,"정말 많은 도움이 됩니다. 영어공부는 계속 조금씩 해왔지만. 역시 입으로 뱉아야 느는거 같아요. 선생님들 설명도 귀에콕콕 박히고. 이해 200프로잘됩니다. 내용도 책에서는 안나오는 진짜 찐수다표현이 많아서 너무써먹을데가 많을것 같습니다. 그리고 불꽃보면서 습관이되도록 . 요새 마음을 다잡는데도 굉장한 도움이 됩니다. 불꽃보면서 뭔가 큰 성취를 한것만 같은ㅋㅋㅋ 재미가쏠쏠해요ㅋㅋㅋ 다만 제음성이 가끔씩 큰소리로 폰에얼굴을 묻고 말하지 않으면 인식이 안될때가 있는데. 그것만좀 고쳐진다면 진짜 좋을것 같아요. 귀에 쏙쏙 박히는 설명과 적당한 하루공부양. 실전에쓰이는 말들. 정말 돈안아까운 거 같아요. 학원도 다니고 다른인터넷으로 원어민이랑 일대일수업도 해보고 여러가지 해봤는데. 전 개인적으로 스픽이 젤 도움이 되는거 같아서, 요새 이거만 합니다. 선생님들 좋은앱 만들어주셔서 정말 감사합니다^^"
243,박박씨,3/5,2023년 11월 8일,"영어학습에 좋은 어플이라고 생각합니다. 그런데 한번에 하나의 과정만 선택이 가능해서 이전 과정을 다시보고싶으면 좀 번거로움이있네요. 그리고 공부하면서 표현들 저장할수있는 방식도좋지만 그 표현을 어떤과정, 어떤 챕터에서 보았는지도 함께 알 수 있으면 좋겠어요. 그리고 같은 챕터에서 저장한 표현들은 카테고리별로 함께 보이면 좋겠어요!! 그리고 유료앱인데...음성인식이 너무 안되는것같습니다. 많은 개선이 필요하다고 생각합니다."
